p,p_bell,p_single_ratio,p_idle_ratio,telegate_idle_depth,logical_error_rate,acceptance_ratio,discarded_runs,n_samples,logical_failures,avg_fidelity,z_error_pre_decoding_rate,x_error_pre_decoding_rate,depth_cx_layers,depth_telegate_layers,encoding_circ_gate_counts,total_single_qubit_count,total_two_qubit_count,total_telegate_count,num_meas
0.004143278428827794,0.0012587497926444527,0.01,0.1,25,0.0049301885304094024,0.8810891114914468,27374,230206,[1000],0.9950698114695926,0.13330736767373985,0.07761595803423522,8,3,"[3, 6, 2]",3,8,3,1
0.004524907514822488,0.0012587497926444527,0.01,0.1,25,0.005829680067157914,0.871161219877606,25369,196905,[1000],0.9941703199328424,0.14199934707583248,0.08411062400895439,8,3,"[3, 6, 2]",3,8,3,1
0.004941687692345045,0.0012587497926444527,0.01,0.1,25,0.007051042496633127,0.8628540139324066,22542,164365,[1000],0.9929489575033505,0.15725940080240863,0.09489998096218526,8,3,"[3, 6, 2]",3,8,3,1
0.005396856658103985,0.0012587497926444527,0.01,0.1,25,0.00818759415733281,0.8493994756278209,21655,143791,[1000],0.9918124058426679,0.16746086329992796,0.10295899652846008,8,3,"[3, 6, 2]",3,8,3,1
0.005893950326573491,0.0012587497926444527,0.01,0.1,25,0.009989810393398734,0.8407340528282871,18963,119065,[1000],0.990010189606593,0.1838324908593235,0.11303470460130667,8,3,"[3, 6, 2]",3,8,3,1
0.006436830298235144,0.0012587497926444527,0.01,0.1,25,0.011870281563078676,0.8283171918784721,17461,101705,[1000],0.9881297184369296,0.20031100137695265,0.12476852950951997,8,3,"[3, 6, 2]",3,8,3,1
0.007029713857864377,0.0012587497926444527,0.01,0.1,25,0.014524539208993595,0.814732856044021,15656,84505,[1000],0.9854754607910067,0.21423695333265552,0.1358044416040901,8,3,"[3, 6, 2]",3,8,3,1
0.00767720673589913,0.0012587497926444527,0.01,0.1,25,0.01624088480340409,0.8038775376982832,15022,76595,[1000],0.9837591151965983,0.23534666168612867,0.14837672356389975,8,3,"[3, 6, 2]",3,8,3,1
0.008384338887392595,0.0012587497926444527,0.01,0.1,25,0.019280825219319387,0.7912159997559153,13686,65551,[1000],0.9807191747806795,0.25184613901474984,0.16174684276487034,8,3,"[3, 6, 2]",3,8,3,1
0.009156603566493744,0.0012587497926444527,0.01,0.1,25,0.023408787658887147,0.7725653314042861,12576,55295,[1000],0.9765912123411139,0.2750064374166062,0.17996675952152438,8,3,"[3, 6, 2]",3,8,3,1
0.010000000000000002,0.0012587497926444527,0.01,0.1,25,0.026129445271876876,0.7573916485256283,12259,50530,[1000],0.9738705547281313,0.2972746988581432,0.19351467168352016,8,3,"[3, 6, 2]",3,8,3,1
0.0004999999999999999,0.0014122419830406455,0.01,0.1,25,0.0001059429945194874,0.98166,4585,250000,[26],0.9998940570054908,0.017696554815312838,0.00900922926471487,8,3,"[3, 6, 2]",3,8,3,1
0.0005460539995742772,0.0014122419830406455,0.01,0.1,25,0.00010604713387227031,0.980696,4826,250000,[26],0.9998939528661377,0.019557538727597544,0.009837911034612153,8,3,"[3, 6, 2]",3,8,3,1
0.0005963499409021295,0.0014122419830406455,0.01,0.1,25,0.00011438188844497823,0.979176,5206,250000,[28],0.9998856181115477,0.020964566124986723,0.010874449537161858,8,3,"[3, 6, 2]",3,8,3,1
0.0006512785407509825,0.0014122419830406455,0.01,0.1,25,0.00013916175507531106,0.97728,5680,250000,[34],0.9998608382449312,0.022323182711198427,0.011808284217419777,8,3,"[3, 6, 2]",3,8,3,1
0.0007112665040279459,0.0014122419830406455,0.01,0.1,25,0.0001885995662209977,0.975612,6097,250000,[46],0.9998114004337789,0.02534614170387408,0.01296417018240858,8,3,"[3, 6, 2]",3,8,3,1
0.0007767798385753472,0.0014122419830406455,0.01,0.1,25,0.00022590237731447255,0.973872,6532,250000,[55],0.9997740976226918,0.0263402171948675,0.014646688681880165,8,3,"[3, 6, 2]",3,8,3,1
0.0008483274752854595,0.0014122419830406455,0.01,0.1,25,0.00026358166295318544,0.971236,7191,250000,[64],0.99973641833705,0.02922049841645079,0.01524655181644832,8,3,"[3, 6, 2]",3,8,3,1
0.000926465221656747,0.0014122419830406455,0.01,0.1,25,0.0002682403433476395,0.96928,7680,250000,[65],0.999731759656647,0.03138412017167382,0.0169816771211621,8,3,"[3, 6, 2]",3,8,3,1
0.001011800079504272,0.0014122419830406455,0.01,0.1,25,0.00038083883893828753,0.966288,8428,250000,[92],0.9996191611610583,0.03368353948305267,0.01856589339824152,8,3,"[3, 6, 2]",3,8,3,1
0.0011049949603657587,0.0014122419830406455,0.01,0.1,25,0.00038611160701311535,0.963452,9137,250000,[93],0.9996138883930002,0.03656020227266122,0.01961696067889215,8,3,"[3, 6, 2]",3,8,3,1
0.0012067738352342851,0.0014122419830406455,0.01,0.1,25,0.00042885396065369004,0.9607,9825,250000,[103],0.9995711460393405,0.04081190798376184,0.02230040595399188,8,3,"[3, 6, 2]",3,8,3,1
0.001317927358622541,0.0014122419830406455,0.01,0.1,25,0.0004931625931993715,0.957088,10728,250000,[118],0.9995068374067944,0.04457688321241098,0.024369754923267244,8,3,"[3, 6, 2]",3,8,3,1
